;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment
1617;Wed Aug 05 20:38:31 +0000 2015;1135.0;629028734524194816;0.0;445.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";From @Deese44: Read why the Clean Power Plan is vital to the fight against climate change: http://t.co/QPHdcuYzv2 #ActOnClimate;0.3182
1618;Wed Aug 05 17:01:55 +0000 2015;2390.0;628974226364469248;0.0;1355.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""It is surely the pursuit of peace that is most needed in this world so full of strife."" —President Obama #IranDeal";0.7506
1619;Wed Aug 05 16:59:42 +0000 2015;1083.0;628973664990433280;0.0;376.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""As members of Congress reflect on their pending decision, I urge them to set aside political considerations.” —President Obama #IranDeal";0.0
1620;Wed Aug 05 16:58:11 +0000 2015;1267.0;628973286060265472;0.0;425.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""As Americans, we should be proud of this achievement."" —President Obama #IranDeal";0.4767
1621;Wed Aug 05 16:56:51 +0000 2015;1292.0;628972950624956416;0.0;564.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""Now we have before us a solution that prevents Iran from obtaining a nuclear weapon without resorting to war."" —President Obama #IranDeal";0.1027
1622;Wed Aug 05 16:54:19 +0000 2015;1912.0;628972310561558528;0.0;1112.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""President Kennedy warned Americans not to see conflict as inevitable. It is time to apply such wisdom.” —President Obama #IranDeal";-0.0356
1623;Wed Aug 05 16:53:01 +0000 2015;1334.0;628971985045819392;0.0;658.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""I have repeatedly challenged anyone opposed to this deal to put forward a better, plausible alternative."" —President Obama #IranDeal";0.3612
1624;Wed Aug 05 16:51:33 +0000 2015;969.0;628971616651776000;0.0;397.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""When we carefully examine the arguments against this deal, none of them stand up to scrutiny.” —President Obama #IranDeal";-0.296
1625;Wed Aug 05 16:49:40 +0000 2015;911.0;628971143148408832;0.0;375.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""If Iran violates this deal, we will have ample opportunity to respond."" —President Obama #IranDeal";-0.128
1626;Wed Aug 05 16:47:45 +0000 2015;2330.0;628970659041816577;0.0;1458.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""Worry less about being labeled weak. Worry more about getting it right.” —President Obama #IranDeal";-0.8271
